,Time,Day_of_week,Age_band_of_driver,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,TimeLine
0,1900-01-01 17:02:00,Monday,18-30,1-2yr,Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,17,Evening
1,1900-01-01 17:02:00,Monday,31-50,Above 10yr,Public (> 45 seats),Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury,17,Evening
2,1900-01-01 17:02:00,Monday,18-30,1-2yr,Lorry (41?100Q),  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,17,Evening
3,1900-01-01 01:06:00,Sunday,18-30,5-10yr,Public (> 45 seats),Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,1,Night
4,1900-01-01 01:06:00,Sunday,18-30,2-5yr,Automobile, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury,1,Night
5,1900-01-01 14:15:00,Friday,31-50,5-10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,Not a Pedestrian,Overloading,Slight Injury,14,Afternoon
6,1900-01-01 17:30:00,Wednesday,18-30,2-5yr,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Not a Pedestrian,Other,Slight Injury,17,Evening
7,1900-01-01 17:20:00,Friday,18-30,2-5yr,Automobile,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,Not a Pedestrian,No priority to vehicle,Slight Injury,17,Evening
8,1900-01-01 17:20:00,Friday,18-30,Above 10yr,Lorry (41?100Q), Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Crossing from driver's nearside,Changing lane to the right,Slight Injury,17,Evening
9,1900-01-01 17:20:00,Friday,18-30,1-2yr,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,Not a Pedestrian,Moving Backward,Serious Injury,17,Evening
